"medal","year","amount"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1896","0"
"Silver","1896","0"
"Bronze","1896","0"
"Gold","1900","1"
"Silver","1900","1"
"Bronze","1900","0"
"Gold","1904","4"
"Silver","1904","2"
"Bronze","1904","3"
"Gold","1908","0"
"Silver","1908","0"
"Bronze","1908","0"
"Gold","1912","0"
"Silver","1912","0"
"Bronze","1912","0"
"Gold","1920","0"
"Silver","1920","0"
"Bronze","1920","0"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1928","0"
"Silver","1928","0"
"Bronze","1928","0"
"Gold","1932","0"
"Silver","1932","0"
"Bronze","1932","0"
"Gold","1936","0"
"Silver","1936","0"
"Bronze","1936","0"
"Gold","1948","0"
"Silver","1948","1"
"Bronze","1948","0"
"Gold","1952","0"
"Silver","1952","0"
"Bronze","1952","0"
"Gold","1956","0"
"Silver","1956","0"
"Bronze","1956","0"
"Gold","1960","0"
"Silver","1960","0"
"Bronze","1960","0"
"Gold","1964","0"
"Silver","1964","1"
"Bronze","1964","0"
"Gold","1968","0"
"Silver","1968","4"
"Bronze","1968","0"
"Gold","1972","3"
"Silver","1972","1"
"Bronze","1972","4"
"Gold","1976","6"
"Silver","1976","4"
"Bronze","1976","3"
"Gold","1980","8"
"Silver","1980","7"
"Bronze","1980","5"
"Gold","1984","0"
"Silver","1984","0"
"Bronze","1984","0"
"Gold","1988","0"
"Silver","1988","0"
"Bronze","1988","0"
"Gold","1992","14"
"Silver","1992","6"
"Bronze","1992","11"
"Gold","1996","9"
"Silver","1996","8"
"Bronze","1996","8"
"Gold","2000","11"
"Silver","2000","11"
"Bronze","2000","7"
"Gold","2004","9"
"Silver","2004","7"
"Bronze","2004","11"
"Gold","2008","3"
"Silver","2008","10"
"Bronze","2008","16"
"Gold","2012","5"
"Silver","2012","3"
"Bronze","2012","7"
"Gold","2016","5"
"Silver","2016","2"
"Bronze","2016","4"
