"medal","year","amount"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1928","0"
"Silver","1928","0"
"Bronze","1928","0"
"Gold","1932","0"
"Silver","1932","0"
"Bronze","1932","0"
"Gold","1936","0"
"Silver","1936","0"
"Bronze","1936","0"
"Gold","1948","0"
"Silver","1948","0"
"Bronze","1948","0"
"Gold","1952","0"
"Silver","1952","0"
"Bronze","1952","0"
"Gold","1956","0"
"Silver","1956","0"
"Bronze","1956","0"
"Gold","1960","0"
"Silver","1960","0"
"Bronze","1960","0"
"Gold","1964","0"
"Silver","1964","0"
"Bronze","1964","0"
"Gold","1968","0"
"Silver","1968","0"
"Bronze","1968","0"
"Gold","1972","0"
"Silver","1972","0"
"Bronze","1972","0"
"Gold","1976","0"
"Silver","1976","0"
"Bronze","1976","0"
"Gold","1980","0"
"Silver","1980","0"
"Bronze","1980","0"
"Gold","1984","0"
"Silver","1984","0"
"Bronze","1984","0"
"Gold","1988","0"
"Silver","1988","0"
"Bronze","1988","0"
"Gold","1992","0"
"Silver","1992","3"
"Bronze","1992","0"
"Gold","1994","0"
"Silver","1994","1"
"Bronze","1994","2"
"Gold","1998","0"
"Silver","1998","6"
"Bronze","1998","2"
"Gold","2002","2"
"Silver","2002","2"
"Bronze","2002","4"
"Gold","2006","2"
"Silver","2006","4"
"Bronze","2006","5"
"Gold","2010","5"
"Silver","2010","2"
"Bronze","2010","4"
"Gold","2014","3"
"Silver","2014","4"
"Bronze","2014","2"
"Gold","2018","0"
"Silver","2018","0"
"Bronze","2018","0"
