"medal","year","amount"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1924","0"
"Silver","1924","0"
"Bronze","1924","0"
"Gold","1928","0"
"Silver","1928","0"
"Bronze","1928","0"
"Gold","1932","0"
"Silver","1932","0"
"Bronze","1932","0"
"Gold","1936","0"
"Silver","1936","0"
"Bronze","1936","0"
"Gold","1948","0"
"Silver","1948","0"
"Bronze","1948","0"
"Gold","1952","0"
"Silver","1952","0"
"Bronze","1952","0"
"Gold","1956","0"
"Silver","1956","1"
"Bronze","1956","0"
"Gold","1960","0"
"Silver","1960","0"
"Bronze","1960","0"
"Gold","1964","0"
"Silver","1964","0"
"Bronze","1964","0"
"Gold","1968","0"
"Silver","1968","0"
"Bronze","1968","0"
"Gold","1972","1"
"Silver","1972","1"
"Bronze","1972","1"
"Gold","1976","0"
"Silver","1976","0"
"Bronze","1976","0"
"Gold","1980","0"
"Silver","1980","1"
"Bronze","1980","0"
"Gold","1984","0"
"Silver","1984","1"
"Bronze","1984","0"
"Gold","1988","0"
"Silver","1988","0"
"Bronze","1988","1"
"Gold","1992","1"
"Silver","1992","2"
"Bronze","1992","4"
"Gold","1994","1"
"Silver","1994","2"
"Bronze","1994","2"
"Gold","1998","5"
"Silver","1998","1"
"Bronze","1998","4"
"Gold","2002","0"
"Silver","2002","1"
"Bronze","2002","1"
"Gold","2006","1"
"Silver","2006","0"
"Bronze","2006","0"
"Gold","2010","0"
"Silver","2010","3"
"Bronze","2010","2"
"Gold","2014","1"
"Silver","2014","4"
"Bronze","2014","3"
"Gold","2018","0"
"Silver","2018","0"
"Bronze","2018","0"
